code,dimension,meaning,level,definition,source
work_rights_L1,work_rights,工作權迷思：level 1,1,極力維護「職業性別化」與「母職懲罰」，認為特定職業是特定性別專屬，或將生育視為女性個人負擔。,codebook.docx
work_rights_L0,work_rights,工作權迷思：level 0,0,回答不相關言論,codebook.docx
family_rights_L3,family_rights,家庭權迷思：level 3,3,主張家事與育兒是「同住者共同責任」，否定「男性只是幫忙」的心態；肯定家務勞動價值與獨立財產/決策權。,codebook.docx
family_rights_L2,family_rights,家庭權迷思：level 2,2,認同男性應該「幫忙做家事」，但使用「幫忙/談錢傷感情/互相就好」等將家務預設為女性責任的妥協態度。,codebook.docx
family_rights_L1,family_rights,家庭權迷思：level 1,1,強烈認同傳統「男主外女主內」結構，堅信財產傳子不傳女，或將家務視為女性天經地義的「本分」。,codebook.docx
family_rights_L0,family_rights,家庭權迷思：level 0,0,回答不相關言論,codebook.docx
nationality_rights_L3,nationality_rights,國籍權迷思：level 3,3,尊重多元文化與國籍，將婚姻移民視為平等的獨立個體與家庭成員，絕非工具或附屬品。,codebook.docx
nationality_rights_L2,nationality_rights,國籍權迷思：level 2,2,認為不該歧視新住民，但言談中帶有「她們比較弱勢、需要被同情/施捨」的上對下心態。,codebook.docx
nationality_rights_L1,nationality_rights,國籍權迷思：level 1,1,將跨國婚姻移民物化、工具化，使用貶低性字眼（如「買來的」、「傳宗接代工具」、「賺錢的」）。,codebook.docx
nationality_rights_L0,nationality_rights,國籍權迷思：level 0,0,回答不相關言論,codebook.docx
civil_rights_L3,civil_rights,公民權迷思：level 3,3,精準指出公民保衛國家義務不應用性別區分，覺察到「只有男性當兵」是父權傳統，主張體制改變與多元國防參與。,codebook.docx
civil_rights_L2,civil_rights,公民權迷思：level 2,2,覺得男女都該有義務，但受限於傳統軍隊想像，認為女性在體能上真的吃虧、不適合第一線。,codebook.docx
civil_rights_L1,civil_rights,公民權迷思：level 1,1,強烈維護「男性保護者」框架，認為保家衛國是男人的事，使用「男生比較衰」、「女生添亂」等字眼。,codebook.docx
civil_rights_L0,civil_rights,公民權迷思：level 0,0,回答不相關言論,codebook.docx
